fc_num,contact_date,street,city,zip,circumstance,basis,key_situations,vehicle_type,sex,race,ethnicity,age,build,skin_tone,was_frisked,narrative
FC23000027,2023-01-02 00:21:00,BLUE HILL AVE,BOSTON,2121,Stopped,Probable Cause, Body Worn Camera,Suv (sport Utility Vehicle),Male,Black,Not of Hispanic Origin,44.0,Medium,,0,"TS for VALS (speeding/marked lanes violation) MA REG: XXXat XXXBlue Hill Ave, Dorchester Op:XXX (DOB: XX/XX/XXXXPrior F/As, 94C, Armed Assault W/I Murder XXXstated he was driving home from the airport. XXXwas cordial during TS. Verbal warning issued. FIO to associate with MV. B101A (Kadey/Centeio)"
FC23000029,2023-01-02 00:53:00,BLUE HILL AVENUE,BOSTON,2121,Stopped,Probable Cause, Body Worn Camera,Suv (sport Utility Vehicle),Male,Black,Hispanic Origin,35.0,Medium,,1,"TS for VALS (speeding) MA REG: XXXat XXXBlue Hill Ave, Dorchester Op: XXX (DOB: XX/XX/XXXXPrior 94C Due to numerous observations XXXwas removed from the MV and frisked to no avail. XXXgrabbing area in MV was also frisked to no avail. XXXwas cordial during TS and stated MV belonged to his parents. Verbal warning issued. FIO to associate with MV. B101A (Kadey/Centeio)"
FC23000025,2023-01-02 01:44:00,HARVARD ST,MATTAPAN,2126,Observed,Intel, Gang,Passenger Car/ Automobile,Male,Black,Not of Hispanic Origin,30.0,Medium,Dark,0,"Officers observed NJ REG XXXa 2022 Gray Nissan Altima registered to XXX, a rental company our of FL, operating on Woodrow Ave towards Blue Hill Ave. The vehicle eventually stopped in front of XXXHarvard St. Officers then observed XXX (XXX Prior F/A) exit the drivers seat and remove food from the backseat before entering XXXHarvard ST. This vehicle has previously been FIOed with XXX XXX XXX(Open Murder, F/A on BOP). On 4/24/21 XXXand XXXwere stopped at XXXAstoria St after a shotspotter, in which the matched the descriptions of the suspects and vehicle seen fleeing (212026460), during this stop XXXand XXXidentified themselves as cousins. FIOed to asscociate vehicle with both parties and groups. (CK01A Lewis/Osis)"
FC23000030,2023-01-02 03:15:00,,ROXBURY,2119,Stopped,Probable Cause, Body Worn Camera,Passenger Car/ Automobile,Male,Unknown,,24.0,,,0,"About 03:15 on 01/02/23, Officers conducted TS at Massachusetts Avenue and Melnea Cass Blvd of a Black Range Rover (MA REG XXXfor VALS (Speeding 90/17). Operator identified as registered owner XXXXX/XX/XXXX XXXexplained that he was speeding because he was going to the airport because his grandmother passed away and he had to make his flight to the Dominican Republic. Upon further questioning XXXstated he had an active MA LTC as well as a firearm locked in the center console of the vehicle. Officers confirmed that he had an active LTC and firearm registration for a ""SIG H 9MM"". Officers identified the rear passenger asXXX(DOB XX/XX/XXXXwho provided officers with a Dominican Republic ID. written warning issued for speeding. D103A Foley/Sandoval"
FC23000031,2023-01-02 06:10:00,SOUTHAMPTON ST,ROXBURY,2118,Encountered,Encounter, Drugs,,Female,White,Not of Hispanic Origin,24.0,,,0,"At about 0610 on Monday, January 2, 2023 Officer Harlow responded to assist the FG02A with a female down over dosing. On arrival Officer Harlow observedXXX XX/XX/XXXXon the ground unresponsive with shallow slow respirations, with a bystander giving her one 4mg Narcan. After several minuets medical staff from 112 responded with oxygen and a BVM. Officer Harlow administered one more 4mg Narcan, and after several minuets XXXbegan to breath on her own. Boston EMS A06 transported the to Boston Medical Center."
FC23000032,2023-01-02 07:36:00,HUNTINGTON AVE,BOSTON,2199,Stopped,Probable Cause," Homeless, Body Worn Camera",,Male,Black,Not of Hispanic Origin,20.0,Thin,Medium Brown,1,"XXX XX/XX/XXXXwas stopped by loss prevention inside an employee changing area inside Star Market at 1 Ring Road, Back Bay. XXXwas cooperative with officers and searched to no avail. XXXsuffers from bipolar/schizophrenia. Declined EMS."
FC23000036,2023-01-02 10:44:00,WINTER PL,BOSTON,2108,Encountered,Probable Cause, Body Worn Camera,,Male,Black,Not of Hispanic Origin,32.0,Medium,Dark,0,"About 10:44 AM on Monday, 01/02/2022, Officer Daniels in the A426D and Officer Stylien in the A437D responded to a radio call for a verbal disturbance at Planet Fitness, 17 Winter St, Downtown Boston. It should be noted that officers had responded to an earlier call at this location for a removal, but the subject had already left the premises (#P230001968). Upon arrival, officers spoke to Planet Fitness staff, who stated the subject (XXX DOB XX/XX/XXXXwas refusing to leave the gym. Staff stated to officers that XXXhas had his membership cancelled multiple times, but will purchase a new membership and then refuse to leave. Officers were directed to the men's locker room on the lower level, where they encountered XXXOfficers informed XXXthat he had to leave the gym. XXXrefused, stating that he had an active membership. Officers informed XXXthat his membership had been cancelled, and that he was required to vacate the premises. While officers were escorting XXXto the exit, XXXbecame aggressive, clenching his hands into fists and flexing his arms. XXXturned around towards officers and stated, ""I fight cops. Run my name, I fight cops."" Officers requested additional units over the air. Responding units: A904 (sgt. Chu), A102D (Danilecki/Coleman), A103D (Kalinski/Leighton), A421D (Beaton), A435D (Kozub) Officers were able to escort XXXout of Planet Fitness and trespassed him from the property. XXXhas an extensive BOP, including an open case for Assault, Dangerous Weapon out of Roxbury District Court (#I222038838). BWC activated."
FC23000038,2023-01-02 12:00:00,,DORCHESTER,2122,Stopped,Probable Cause, Body Worn Camera,,Male,White,Hispanic Origin,45.0,Thin,,0,"Tstop of MA Reg XXXfor VALs (excessive tint) at Gibson & Struevant st. Operator/owner identifed as XXX(XXX) who was extremly argumentative with Officer Champagnie. XXXstated that he has the tint due to being stabbed in the neck. XXXbegan to calm down once he observed more Officers come to Officer Champagnie's location. XXXhas priors on his bop for ABDW, Firearms & Carrying A dangerous Weapon Verbal warning issued for excessive tint."
FC23000033,2023-01-02 12:15:00,S STATION,BOSTON,2111,Encountered,Intel, Body Worn Camera,,Male,Unknown,,30.0,,,0,"About 12:03PM on Monday, 01/02/2023, Officers Suttle and Danilecki in the A102F responded to a radio call for an Assist Outside Department located on Track 8 within South Station in Boston. Upon arrival, Officers were made aware that the Suspect later identified as (XXX was detained by Officers from Massachusetts Transit Police and Amtrak Police Officers on Track 12 at the above location. A description of the Suspect was broadcasted by Operations about 11:18AM on 01/02/2023 ""XXXXX, HISP MALE, WEARING BLACK JACKET, BLACK T SHIRT, JEANS, FLED TOWARDS MAVERICK SQ HEADED TOWARDS BROCKTON BLK SHIRT BLK PEPSI LOGO JACKET AND BLUE JEANS"" Sergeant Roberts and K9 Officer McDonagh from the Amtrak Police Department were the Officers who spotted and initiated the encounter with the Suspect within South Station on 01/02/2023. Officers were assisted by BPD Officers Kozub, Eaton, Stylien, and Daniels. While walking towards Track 12 the A102D was instructed by Sergeant Hernandez G910 to complete a Field Interrogation Observation Report along with a photograph of the above Suspect in relation to Boston Police Incident Number XXX remained seated on his belongings and was not handcuffed while speaking with Officers on scene. Officers confirmed the Demographic information provided by XXXand documented his attire on their Department Issued Cell-Phone. Photo uploaded to this FIO BWC Activated During Above. XXXwas provided with a Boston Police Incident Number I232000323."
FC23000045,2023-01-02 12:42:00,,DORCHESTER,2125,Stopped,Probable Cause," Body Worn Camera, Gang",Passenger Car/ Automobile,Male,Black,Unknown,32.0,,,0,"12:42 PM TS speeding / stop sign GA REG XXX A rental vehicle operated byXXX a known XXX member. XXXis on probation out of Suffolk Superior Court. Multiple guilty convictions for firearm related offenses. Please note calm, cooperative and relaxed demeanor. VK04"
FC23000043,2023-01-02 14:30:00,OLD RD,BOSTON,2121,Stopped,Probable Cause, Body Worn Camera,Passenger Car/ Automobile,Male,Black,,28.0,Muscular,Medium,0,"TS XXXOld road MAREG#XXX 230PM (Excessive tints/speeding) The vehicle is registered toXXX Operated byXXXXX reported to officers he had just been released from jail. XXXreported his new address is XXXCharlame Court. XXXhas tried to use his brother's identification XXX in the past. He has multiple guilty convictions for drug distribution. A motor vehicle inventory of the vehicle was completed. Please note XXXcalm, cooperative, and relaxed behavior. XXXreports he works at XXX in Somerville and has XXXchildren and dealing with financial hardship. XXXhas two active default warrants at this time. He was advised to clear the warrants immediately on 01/03/2023. vehicle was legally parked and XXXwas issued a verbal warning . VK04"
FC23000037,2023-01-02 14:50:00,PARK ST,DORCHESTER,2122,Stopped,Probable Cause, Body Worn Camera,,Male,Black,Not of Hispanic Origin,34.0,Medium,,0,"Traffic stop for 90/9D (Excessive Window Tint) MA Reg XXXat XXXpark st. OP identified as XXX(XXX) prior F/A charges on BOP. XXXwas very conversational & cordial through the interaction. XXXinformed Officer Champagnie on numerous occasions that he was ""done with that lifestyle"" referring to his criminal activity as a XXX associate. Verbal warning issued. FIOE to associate occupant with MA Reg XXXH415D (Champagnie)."
FC23000040,2023-01-02 15:39:00,,DORCHESTER,2121,Stopped,Probable Cause," Body Worn Camera, Gang",Passenger Car/ Automobile,Male,Black,Not of Hispanic Origin,29.0,Medium,,0,"3:45 PM Washington St / Columbia Road TS Vals (Excessive window tint) vehicle registered to XXX. She was not present. The vehicle was being operated by known XXX Member XXX He has Guilty convictions for drug distribution and also has firearm charges on his BOP. Please note that he had a calm, cooperative, and relaxed demeanor. VK04"
FC23000046,2023-01-02 15:54:00,WASHINGTON ST,BOSTON,2124,Stopped,Probable Cause,,Passenger Car/ Automobile,Male,Black,Unknown,21.0,Thin,Dark Brown,0,"Observed MA reg: XXXidling at XXXWashington Street. Vehicle had an obstructed rear license plate (non translucent plate cover) and had not been inspected after seven days upon registration. Officers observed the vehicle was running, and the two occupants appeared to be smoking a marijuana cigarette. Traffic stop was conducted, it was confirmed the occupants were smoking marijuana while the car was running. When asked for his license and registration the operator would not produce it and said he had to get it on his phone. He further took the registration of the glove compartment, though would not physically hand it to the officer and would not explain why. The operator was found to be the registered owner XXX, active license). He then took out his phone and immediately started getting even more confrontational as he filmed. State Troopers arrived on scene to assist. Warned against the VALs. Passenger refused to speak and would not identify himself."
FC23000047,2023-01-02 17:10:00,,BOSTON,2136,Stopped,Probable Cause, Body Worn Camera,Passenger Car/ Automobile,Male,Black,Not of Hispanic Origin,24.0,Stocky,,0,"While on routine patrol the officer observed MA Reg XXXviolate the auto laws on River St. and Fairmount Ave. DriverXXX XXXhas open cases for Armed Assault To Murder, and Possession of a firearm, as well as closed cases for Drug Distribution and Carrying a Dangerous Weapon. XXXwas cordial with the officer and gave the officer consent to search the vehicle. Verbal warning for 89/9 Fail to Stop for stop sign. L412F (Kaplan)"
FC23000048,2023-01-02 17:20:00,,BOSTON,2116,Stopped,Reasonable Suspicion , Body Worn Camera,,Male,White,Hispanic Origin,53.0,,,0,"R/C for a possible robbery inside CVS (285 Columbus Avenue). Suspect described as black or hispanic male, 5'9"", wearing all green. Third party caller stated that the cashier looked uncomfortable and the suspect was whispering and had his hands in his pockets. Individual was located outside the store matching the given description with CVS bags and produced a receipt for the items willingly. Suspect was identified as XXX Officers further spoke with the caller who confirmed that the individual stopped was in fact the person he was calling about. Officers verified that there was no issue inside the store. Suspect was FIO'd and released."
FC23000052,2023-01-02 18:55:00,S HUNTINGTON AVE,JAMAICA PLAIN,2130,Stopped,Encounter," Body Worn Camera, Gang",,Male,Black,Not of Hispanic Origin,29.0,Medium,Dark,0,"About 6:55 P.M - TS on MA - XXXfor VALS and nearly causing MVA Subject/Operator -XXX - Became visibly upset and agitated that he was stopped for VALS and argued repetitively with Officer and at one point, exited the vehicle to demand the Officers name and badge number (Provided) Subject XXXto be mailed Citation XXX Firearms charges on BOP - Subject seen with brown ""Fanny pack"" around shoulder but appeared to be empty. J412F (Tilley)"
FC23000055,2023-01-02 20:08:00,CLAYBOURNE ST,DORCHESTER,2124,Stopped,Probable Cause, Body Worn Camera,Passenger Car/ Automobile,Male,Black,,25.0,Stocky,Medium Brown,1,"T/S for VALS (speeding, improper passing, & excessive tint) on a black Mercedes C Class bearing MA Comm. Reg XXXat XXXClaybourne Street, Dorchester. Vehcile accelerated on Washington St. in an attempt to evade officers before turning right on Park St. and left on Claybourne St. Vehicle stopped across from XXXClaybourne St. and the operator and lone occupantXXX (DOB XX/XX/XXXXexited the vehicle and was immediately confrontational with officers. Pat frisk of XXXand M/V yielded negative results. XXXstated to officers that he didn't have any guns on him ""today"" and for officers to check his record. XXXhas multiple prior F/A charges on his BOP. Officers observed numerous panels in the vehicle to be loose, revealing voids. XXXwas placed under arrest for Refusal to Submit and Suspended License. M. Layden / Black / Wheeler"
FC23000059,2023-01-02 21:22:00,WARREN ST,ROXBURY,2119,Observed,Intel, Gang,,Male,Black,Not of Hispanic Origin,33.0,Medium,Brown,0,"Officers observed XXXXX/XX/XXXX XXXassociate, open F/A, Trafficking, and 94C charges; BOP listed underXXX) loitering outside XXXWarren St. Officers know the area for high drug distribution. FIO'd to associate with the area Aldridge/Cooper B101F"
FC23000058,2023-01-02 22:00:00,WASHINGTON ST,DORCHESTER,2124,Encountered,Intel, Gang,,Male,White,Hispanic Origin,29.0,Thin,Light Brown,0,"Officers encountered XXX(Kidnapping, ABDW) at XXXWashington St. Officers engaged XXXin cordial conversation and he informed Officers he works as a delivery driver forXXX and operates MA REG XXXXXXhas been stopped and documented with XXXassociates. XXXwas talkative and cordial throughout interaction. HK01F (E. Foley/O. Russell)"
FC23000061,2023-01-02 23:00:00,ROSSETER ST,DORCHESTER,2121,Stopped,Probable Cause, Body Worn Camera,Passenger Car/ Automobile,Male,Black,Not of Hispanic Origin,35.0,Thin,,1,"T/S of MA REG XXX(89/9) at XXXRosseter St. Driver identified as XXX (prior F/A, VALs). Officers requested XXXlicense (which he produced) and registration which he refused to retrieve. Officers informed XXXthat if he is unbale to produce a registration it is an additional violation and he will be cited for the infraction. XXXcontinuously refused to open the glove box or look inside the vehicle's compartments for it, which is an uncharacteristic behavior exhibited on routine traffic stops. While validating XXXlicense, XXXcontinued stating (in summary) that the vehicle is not his, what is in the vehicle he is not going to jail for, what his brother has/does with the vehicle is not his problem, he was just going to get gas and whatever is in the vehicle is not his. Officers also observed XXXto be continuously changing body positions while seated. Officer Foley informed Officer Russell of his observations, and upon re-approach to the vehicle, XXXstated ""I found the registration somewhere in here (pointing to the center console)"". At this point, Officers feared a weapon may be present in the vehicle and issued an exit order. A pat frisk was conducted of XXXperson as well as the vehicle. As Officer Russell approached the glove box, XXXattempted to walk over and interfere. Officers observed multiple scratch marks on the side panels of the glove box, indicating that it had been manipulated at one point. A search revealed a void behind the glove box. Officers observed multiple loose panels throughout the vehicle. XXXstated to Officers ""If I had a gun on me I wouldn't have stopped and I would have ran and made you work for it, ill do my job and you do your job"". XXXissued written warning for VALs XXXXXXrequested Officer's names and badge numbers which were provided. FIO'd to associate with m/v, document encounter/behavior. HK01F (E. Foley/O. Russell)"
FC23000062,2023-01-02 23:05:00,,DORCHESTER,2124,Stopped,Intel," Body Worn Camera, Gang, Gun",,Male,Black,Not of Hispanic Origin,23.0,Thin,Medium,0,"Officer observed a male on black and white moped operating on Harvard St. and taking a left onto Thane St. operating with no helmet (90:1B). Officer conducted traffic stop at the intersection of School St. and Athelwod St. Operator identified as XXX (XXX, Prior F/A & Armed Robbery charges). XXX stated that the moped belongs to his friend and that he was driving it back to his friend’s house. FIO’d for intel purpose. C411F (Valenzuela)."
FC23000064,2023-01-03 01:44:00,SOUTHAMPTON ST,ROXBURY,2118,Encountered,Encounter," Drugs, Body Worn Camera",,Female,White,Not of Hispanic Origin,24.0,,,0,"Officers were flagged down for XXXI who was overdosing after using fentanyl with four Narcan used in an attempt to revive her. XXXwas uncooperative towards police when she regained her consciousness and refused to provide her name. XXXhas open cases for Larceny Over from Natick District Court, Breaking and Entering X XXX, Receiving Stolen Property X XXX, Larceny of Motor Vehicle X XXX from Cambridge District Court and has criminal record in XXX and XXX but none in Boston. Levichev/M Kelly -FG01A"
FC23000065,2023-01-03 02:22:00,COLUMBIA RD,DORCHESTER,2125,Stopped,Probable Cause," Auto Investigator, Body Worn Camera",Passenger Car/ Automobile,Male,White,Hispanic Origin,54.0,Medium,,1,"TS for VALs (90/23 & 90/9) of MA Reg XXXat XXXColumbia Road, Dorchester. Operator identified asXXX(Prior XXX, XXX, XXX, XXX, XXX). Inventory search revealed meat cleaver between front driver's seat and center console. Vehicle towed and suspect summonsed for VALs. FIO for officer safety/associate vehicle. H103A (MacLeod/Ruane)"
FC23000066,2023-01-03 04:45:00,SOUTHAMPTON ST,ROXBURY,2118,Observed,Intel,,,Male,Black,Not of Hispanic Origin,,,,0,"***FIO FOR INTEL*** OFFICERS WHILE PERFORMING CODE 19 AT SOUTHAMPTON ST AND ATKINSON ST OBSERVED MALE PARTY - OBSERVED TO BE A BLACK MALE WEARING DARK HOODIE, BLUE JEANS, WHITE SNEAKERS, AND A FAT GOLD CHAIN WITH LARGE GOLD SQUARE SHAPED SYMBOL RIDING HIS BICYCLE FROM D-4 SIDE OF SOUTHAMPTON AND COMING ONTO ATKINGSON ST TOWARDS THE TENTS. OFFICERS OBSERVED THAT HOMELESS PEOPLE MANY OF WHOM ARE KNOWN DRUG ABUSERS IMMEDIATELY CONGREGATED AROUND THAT MALE INCLUDING SEVERAL PEOPLE WHO WERE STANDING ON SOUTHAMPTON ST FACING THE AREA FROM WHICH MALE PARTY CAME UNTIL 4:45 AM WHEN THEW FOLLOWED THIS ONE PARTICULAR MALE TOWARDS THE TENTS. OFFICERS NOTED THAT THAT PARTICULAR PERSON APPEARED HEALTHY AND HAD VISIBLE BELLY STICKING OUT AND DID NOT APPEAR TO BE DRUG ABUSER. OFFICERS NOTED THAT THIS PERSON WENT TO EACH GROUP BUT WERE UNABLE TO SEE WHAT TRANSPIRED. SUBJECT EVENTUALLY LEFT AND DROVE ON SOUTHAMPTON ST TOWARDS D-4 AND MAJORITY HOMELESS PEOPLE WHO WERE UP UNTIL HE SHOWED UP DISPERSED AND LEFT AFTER HE LEFT. FIO GENERATED FOR POSSIBLE DRUG TRANSACTION IN THE AREA. LEVICHEV/M KELLY -FG01A-"
FC23000081,2023-01-03 08:30:00,,BOSTON,2124,Observed,Reasonable Suspicion , Gang,Passenger Car/ Automobile,Male,Black,Not of Hispanic Origin,33.0,,,0,"About 6:45PM, on Tuesday, 01/03/23, Officers Correia and Lopes in the HK01F observed a vehicle bearing MA/reg. XXX(Gray BMW) idling at the gas station (Fabian's Gas station) at XXXWashington Street, Dorchester. Officers observed a white SUV pulling into the parking and the driver immediately exited the driver's side and jumped into the gray BMW XXXfront passenger seat. The vehicle (white SUV) had an out of state plate and Officers were unable to record the plate. The vehicle (white SUV) then fled the scene at a high rate of speed on Washington Street. Approximately 5 minutes later, a blue SUV pulled into the same spot and parked side-by-side with the BMW and were idling. At that time, Officers lost sight of the vehicle due to vehicles' traffic. Around 8:45PM, Officers were on a random patrol in the area of Washington Street and observed the BMW in the same vicinity and the vehicle pulled into KFC XXXWashington Street). As the vehicle exited the KFC parking lot, the operator identified asXXX D.O.B. XX/XX/XXXXexited the vehicle and approached the cruiser and told the Officers to stop harassing him. XXXis an active member of XXX and has a history of multiple Drugs Charges and Firearms in the past. HK01F (Correia and Lopes)."
FC23000069,2023-01-03 09:50:00,COLUMBUS AVE,ROXBURY,2119,Encountered,Probable Cause, Body Worn Camera,,Female,Black,Not of Hispanic Origin,41.0,Heavy,,0,"Officer Abrahamson and Nguyen responded to Walgreens for a verbal dispute. Met store manager XXX who stated that every time XXX enters the store, she becomes confrontational. XXXwas verbally upset and stated the staff accuses her of stealing. XXXstated that be believes she has shoplifted in the past. XXXwas advised she should take her business elsewhere. Walgreens stated that they wanted XXXtrespassed from Walgreens as she is always causing a scene in the store. XXXwas advised to contact cooperate."
FC23000072,2023-01-03 10:00:00,ADAMS ST,DORCHESTER,2122,Stopped,Probable Cause, Body Worn Camera,,Male,Black,,19.0,Thin,Medium Brown,0,Traffic stop for 90/9D (Excessive Window Tint) MA Reg XXXat XXXAdams St. OP identified asXXX prior F/A charges. XXXwas very cordial through the interaction. Verbal warning issued. FIOE to associate occupant with MA Reg XXX H415D (Champagnie).
FC23000070,2023-01-03 11:30:00,,DORCHESTER,2125,Stopped,Probable Cause, Body Worn Camera,,Male,Other,Hispanic Origin,39.0,,,1,"TStop of White 2020 Honda Accord MA XXXfor VALs (fail to use a turn signal & excessive tint) at Bowdoin St on to Quincy St. Officers were unable to safely stop the vehicle until Quincy St at Columbia Rd. Operator identified asXXX. XXX was immediately confrontational. XXX could be seen moving throughout the vehicle and he refused to roll down the rear windows of the vehicle, making it impossible for officers to see into the backseat of the vehicle. A CJIS inquiry revealed a history of weapons violations and violent offenses to include, Murder, multiple illegal firearms, and an open case for A&B with Serious Bodily Injury. XXX made it known to officers that his own brother was the victim of a recent homicide. Based on these factors, officers issued an exit order. Pat-frisk of XXX and vehicle returned negative results. Massachusetts Uniform Citation XXXfor Failure To Use Turn Signal (90/14B) - Excessive Window Tint (90/9D) issued. H415D (Champagnie)."
